[     652ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5175/node_modules/.vite/deps/chunk-5MJJNU6A.js?v=e22249a8:21608
[     662ms] [LOG] Environment: development @ http://localhost:5175/src/utils/api.ts:4
[     662ms] [LOG] API_URL configured as: / @ http://localhost:5175/src/utils/api.ts:5
[     662ms] [LOG] Current window location: http://localhost:5175/ @ http://localhost:5175/src/utils/api.ts:6
[     821ms] [VERBOSE] [DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o @ http://localhost:5175/:0
[   57218ms] [LOG] [useAuth] Loaded user from localStorage: {id: 1176, userId: 1176, email: ernest@shieldlytics.com, firstName: Ernest, lastName: Pena Jr} @ http://localhost:5175/src/hooks/useAuth.ts:12
[   57225ms] [LOG] 🎯 ===== NewRequestModal RENDER ===== @ http://localhost:5175/src/pages/NewRequestModal.tsx:32
[   57225ms] [LOG] 🎯 isOpen: false @ http://localhost:5175/src/pages/NewRequestModal.tsx:33
[   57225ms] [LOG] 🎯 isTemplateForm: false @ http://localhost:5175/src/pages/NewRequestModal.tsx:34
[   57225ms] [LOG] 🎯 initialFormData: undefined @ http://localhost:5175/src/pages/NewRequestModal.tsx:35
[   57225ms] [LOG] 🎯 step: 0 @ http://localhost:5175/src/pages/NewRequestModal.tsx:36
[   57225ms] [LOG] 🎯 ===== MODAL IS CLOSED - NOT RENDERING ===== @ http://localhost:5175/src/pages/NewRequestModal.tsx:342
[   57230ms] [LOG] [useAuth] Loaded user from localStorage: {id: 1176, userId: 1176, email: ernest@shieldlytics.com, firstName: Ernest, lastName: Pena Jr} @ http://localhost:5175/src/hooks/useAuth.ts:12
[   57239ms] [LOG] [useAuth] Loaded user from localStorage: {id: 1176, userId: 1176, email: ernest@shieldlytics.com, firstName: Ernest, lastName: Pena Jr} @ http://localhost:5175/src/hooks/useAuth.ts:12
[   57239ms] [LOG] [useAuth] Loaded user from localStorage: {id: 1176, userId: 1176, email: ernest@shieldlytics.com, firstName: Ernest, lastName: Pena Jr} @ http://localhost:5175/src/hooks/useAuth.ts:12
[   57239ms] [LOG] [useAuth] Loaded user from localStorage: {id: 1176, userId: 1176, email: ernest@shieldlytics.com, firstName: Ernest, lastName: Pena Jr} @ http://localhost:5175/src/hooks/useAuth.ts:12
[   57240ms] [LOG] Home component mounted, fetching data... @ http://localhost:5175/src/pages/Home.tsx?t=1775602670965:407
[   57240ms] [LOG] Fetching requests... @ http://localhost:5175/src/pages/Home.tsx?t=1775602670965:959
[   57240ms] [LOG] Fetching requests from backend server... @ http://localhost:5175/src/pages/Home.tsx?t=1775602670965:965
[   57241ms] [LOG] 🔄 ===== USE EFFECT FOR ACCOUNT CREATOR AND TEMPLATE CHECKS ===== @ http://localhost:5175/src/pages/Home.tsx?t=1775602670965:425
[   57241ms] [LOG] 🔄 User exists: false @ http://localhost:5175/src/pages/Home.tsx?t=1775602670965:426
[   57241ms] [LOG] 🔄 Not checking - user not loaded @ http://localhost:5175/src/pages/Home.tsx?t=1775602670965:435
